nuclides      air         ground      inhaled    thyroid    lamta(1/h)    Vg(m/s)
Ho-167      1.73E-14    3.59E-16    2.94E-11    9.54E-13    2.24E-01    1.50E-03
I-120       1.38E-13    2.56E-15    1.20E-10    1.55E-09    5.13E-01    1.50E-03
I-120m      2.65E-13    5.02E-15    7.15E-11    5.84E-10    7.85E-01    1.50E-03
I-121       1.94E-14    4.09E-16    3.21E-11    7.54E-10    3.27E-01    1.50E-03
I-122       4.56E-14    9.40E-16    0.00E+00    0.00E+00    1.15E+01    1.50E-03
I-123       7.28E-15    1.66E-16    8.01E-11    2.25E-09    5.25E-02    1.50E-03
I-124       5.38E-14    1.05E-15    5.23E-09    1.69E-07    6.91E-03    1.50E-03
I-125       5.22E-16    4.27E-17    6.53E-09    2.16E-07    4.80E-04    1.50E-03
I-126       2.15E-14    4.47E-16    1.20E-08    3.94E-07    2.22E-03    1.50E-03
I-128       4.16E-15    8.77E-17    1.28E-11    5.34E-11    1.66E+00    1.50E-03
I-129       3.80E-16    2.58E-17    4.69E-08    1.56E-06    5.04E-12    1.50E-03
I-130       1.04E-13    2.10E-15    7.14E-10    1.99E-08    5.61E-02    1.50E-03
I-131       1.82E-14    3.76E-16    8.89E-09    2.92E-07    3.59E-03    1.50E-03
I-132       1.12E-13    2.21E-15    1.03E-10    1.74E-09    3.01E-01    1.50E-03
I-132m      1.53E-14    3.15E-16    8.10E-11    1.65E-09    4.97E-01    1.50E-03
I-133       2.94E-14    5.97E-16    1.58E-09    4.86E-08    3.33E-02    1.50E-03
I-134       1.30E-13    2.53E-15    3.55E-11    2.88E-10    7.91E-01    1.50E-03
I-135       8.29E-14    1.53E-15    3.32E-10    8.46E-09    1.05E-01    1.50E-03
In-109      3.21E-14    6.46E-16    2.29E-11    3.41E-12    1.65E-01    1.50E-03
In-110a     7.62E-14    1.51E-15    6.79E-11    1.83E-11    6.02E-01    1.50E-03
In-110b     1.49E-13    2.96E-15    2.92E-11    2.59E-12    1.41E-01    1.50E-03
In-111      1.86E-14    3.90E-16    2.27E-10    1.91E-11    1.02E-02    1.50E-03
In-112      1.26E-14    2.64E-16    2.06E-12    1.01E-13    2.89E+00    1.50E-03
In-113m     1.21E-14    2.54E-16    9.04E-12    6.12E-13    4.18E-01    1.50E-03
In-114      1.39E-16    2.70E-18    0.00E+00    0.00E+00    3.47E+01    1.50E-03
In-114m     4.31E-15    9.41E-17    1.51E-08    6.20E-10    5.83E-04    1.50E-03
In-115      4.50E-18    1.81E-19    2.76E-07    3.16E-08    1.55E-20    1.50E-03
In-115m     7.39E-15    1.58E-16    3.40E-11    1.19E-12    1.55E-01    1.50E-03
In-116m     1.25E-13    2.32E-15    1.52E-11    2.61E-12    7.68E-01    1.50E-03
In-117      3.31E-14    6.79E-16    7.80E-12    7.16E-13    9.50E-01    1.50E-03
In-117m     4.19E-15    8.96E-17    4.09E-11    1.62E-12    3.57E-01    1.50E-03
In-119      3.74E-14    7.53E-16    0.00E+00    0.00E+00    1.73E+01    1.50E-03
In-119m     6.14E-16    1.69E-17    1.02E-11    1.53E-13    2.31E+00    1.50E-03
Ir-182      6.50E-14    1.31E-15    1.31E-11    6.43E-13    2.77E+00    1.50E-03
Ir-184      9.38E-14    1.82E-15    5.71E-11    5.51E-12    2.30E-01    1.50E-03
Ir-185      2.94E-14    5.52E-16    1.48E-10    1.03E-11    4.95E-02    1.50E-03
Ir-186a     8.06E-14    1.56E-15    2.46E-10    2.00E-11    4.39E-02    1.50E-03
Ir-186b     4.65E-14    9.30E-16    0.00E+00    0.00E+00    3.96E-01    1.50E-03
Ir-187      1.68E-14    3.51E-16    5.67E-11    3.37E-12    6.60E-02    1.50E-03
Ir-188      8.01E-14    1.46E-15    4.17E-10    3.95E-11    1.67E-02    1.50E-03
Ir-189      3.21E-15    7.69E-17    4.46E-10    1.06E-11    2.17E-03    1.50E-03
Ir-190      6.86E-14    1.41E-15    1.73E-09    2.30E-10    2.39E-03    1.50E-03
Ir-190m     1.27E-19    3.81E-20    8.24E-12    9.46E-13    5.78E-01    1.50E-03
Ir-190n     7.39E-14    1.53E-15    0.00E+00    0.00E+00    2.24E-01    1.50E-03
Ir-191m     3.02E-15    6.91E-17    0.00E+00    0.00E+00    5.05E+02    1.50E-03
Ir-192      3.91E-14    8.03E-16    7.61E-09    6.51E-10    3.90E-04    1.50E-03
Ir-192m     7.63E-15    1.55E-16    1.04E-07    1.08E-08    3.28E-07    1.50E-03
Ir-194      4.54E-15    9.16E-17    7.84E-10    2.04E-12    3.62E-02    1.50E-03
Ir-194m     1.12E-13    2.30E-15    1.85E-08    4.04E-09    1.69E-04    1.50E-03
Ir-195      2.32E-15    5.52E-17    3.75E-11    1.45E-13    2.77E-01    1.50E-03
Ir-195m     1.93E-14    4.07E-16    6.74E-11    1.50E-12    1.82E-01    1.50E-03
K-38        1.64E-13    2.92E-15    0.00E+00    0.00E+00    5.45E+00    1.50E-03
K-40        8.05E-15    1.46E-16    3.34E-09    3.06E-09    6.18E-14    1.50E-03
K-42        1.46E-14    2.66E-16    3.67E-10    1.05E-10    5.61E-02    1.50E-03
K-43        4.67E-14    9.55E-16    1.87E-10    9.45E-11    3.07E-02    1.50E-03
K-44        1.19E-13    2.04E-15    2.24E-11    2.38E-12    1.88E+00    1.50E-03
K-45        9.67E-14    1.69E-15    1.39E-11    1.44E-12    2.08E+00    1.50E-03
Kr-74       5.59E-14    1.15E-15    0.00E+00    0.00E+00    3.62E+00    0.00E+00
Kr-76       2.03E-14    4.20E-16    0.00E+00    0.00E+00    4.68E-02    0.00E+00
Kr-77       4.86E-14    9.99E-16    0.00E+00    0.00E+00    5.57E-01    0.00E+00
Kr-79       1.21E-14    2.47E-16    0.00E+00    0.00E+00    1.98E-02    0.00E+00
Kr-81       2.67E-16    6.15E-18    0.00E+00    0.00E+00    3.77E-10    0.00E+00
Kr-81m      6.14E-15    1.24E-16    0.00E+00    0.00E+00    1.92E+02    0.00E+00
Kr-83m      1.50E-18    3.80E-19    0.00E+00    0.00E+00    3.79E-01    0.00E+00
Kr-85       1.19E-16    2.64E-18    0.00E+00    0.00E+00    7.38E-06    0.00E+00
Kr-85m      7.48E-15    1.52E-16    0.00E+00    0.00E+00    1.55E-01    0.00E+00
Kr-87       4.12E-14    7.32E-16    0.00E+00    0.00E+00    5.45E-01    0.00E+00
Kr-88       1.02E-13    1.74E-15    0.00E+00    0.00E+00    2.44E-01    0.00E+00
La-131      3.14E-14    6.61E-16    1.11E-11    1.14E-12    7.05E-01    1.50E-03
La-132      1.00E-13    1.90E-15    1.39E-10    1.11E-11    1.44E-01    1.50E-03
La-134      3.35E-14    6.93E-16    0.00E+00    0.00E+00    6.24E+00    1.50E-03
La-135      9.21E-16    3.71E-17    1.60E-11    4.37E-13    3.55E-02    1.50E-03
La-137      4.06E-16    2.57E-17    6.27E-09    6.34E-10    1.32E-09    1.50E-03
La-138      6.20E-14    1.16E-15    9.63E-08    2.18E-08    5.86E-16    1.50E-03
La-140      1.17E-13    2.16E-15    1.31E-09    6.87E-11    1.72E-02    1.50E-03
La-141      2.39E-15    4.54E-17    1.52E-10    2.45E-12    1.76E-01    1.50E-03
La-142      1.44E-13    2.46E-15    5.50E-11    4.91E-12    4.50E-01    1.50E-03
La-143      5.18E-15    9.71E-17    1.62E-11    2.44E-13    2.92E+00    1.50E-03
Lu-169      5.09E-14    9.86E-16    3.64E-10    2.69E-11    2.04E-02    1.50E-03
Lu-170      1.28E-13    2.24E-15    6.96E-10    6.67E-11    1.44E-02    1.50E-03
Lu-171      3.25E-14    6.80E-16    8.07E-10    7.85E-11    3.51E-03    1.50E-03
Lu-172      9.25E-14    1.81E-15    1.35E-09    1.76E-10    4.31E-03    1.50E-03
Lu-173      5.10E-15    1.28E-16    6.09E-09    3.56E-10    5.78E-05    1.50E-03
Lu-174      5.46E-15    1.20E-16    1.07E-08    6.51E-10    2.39E-05    1.50E-03
Lu-174m     2.18E-15    6.04E-17    6.86E-09    1.26E-10    2.03E-04    1.50E-03
Lu-176      2.32E-14    4.78E-16    1.79E-07    8.24E-09    2.20E-15    1.50E-03
Lu-176m     5.87E-16    1.47E-17    7.21E-11    3.71E-14    1.88E-01    1.50E-03
Lu-177      1.62E-15    3.39E-17    6.63E-10    2.47E-12    4.30E-03    1.50E-03
Lu-177m     4.67E-14    9.77E-16    1.98E-08    1.37E-09    1.79E-04    1.50E-03
Lu-178      7.09E-15    1.34E-16    1.26E-11    5.92E-14    1.46E+00    1.50E-03
Lu-178m     5.23E-14    1.09E-15    8.84E-12    3.96E-13    1.83E+00    1.50E-03
Lu-179      1.52E-15    3.13E-17    9.13E-11    1.08E-13    1.51E-01    1.50E-03
Md-257      5.03E-15    1.08E-16    1.55E-08    3.48E-11    1.33E-01    1.50E-03
Md-258      5.08E-17    4.51E-18    4.47E-06    1.24E-09    5.25E-04    1.50E-03
Mg-28       1.61E-13    2.92E-15    1.33E-09    1.07E-10    3.31E-02    1.50E-03
Mn-51       4.80E-14    9.91E-16    2.55E-11    1.39E-12    9.00E-01    1.50E-03
Mn-52       1.72E-13    3.29E-15    1.54E-09    3.41E-10    5.17E-03    1.50E-03
Mn-52m      1.20E-13    2.30E-15    1.50E-11    1.08E-12    1.97E+00    1.50E-03
Mn-53       0.00E+00    0.00E+00    1.35E-10    2.78E-12    2.14E-11    1.50E-03
Mn-54       4.09E-14    8.12E-16    1.81E-09    7.40E-10    9.24E-05    1.50E-03
Mn-56       8.61E-14    1.58E-15    8.91E-11    6.18E-12    2.69E-01    1.50E-03
Mo-101      6.87E-14    1.29E-15    9.87E-12    4.22E-13    2.84E+00    1.50E-03
Mo-90       3.93E-14    7.96E-16    3.34E-10    2.14E-11    1.22E-01    1.50E-03
Mo-93       2.52E-17    5.34E-18    7.68E-09    1.17E-11    2.26E-08    1.50E-03
Mo-93m      1.13E-13    2.12E-15    1.04E-10    1.23E-11    1.01E-01    1.50E-03
Mo-99       7.28E-15    1.47E-16    1.07E-09    1.52E-11    1.05E-02    1.50E-03
N-13        4.90E-14    1.01E-15    0.00E+00    0.00E+00    4.17E+00    1.50E-03
Na-22       1.08E-13    2.10E-15    2.07E-09    1.60E-09    3.04E-05    1.50E-03
Na-24       2.18E-13    3.61E-15    3.27E-10    1.53E-10    4.62E-02    1.50E-03
Nb-88       2.02E-13    4.01E-15    7.27E-12    7.68E-13    2.91E+00    1.50E-03
Nb-89a      9.26E-14    1.90E-15    4.83E-11    3.30E-12    6.30E-01    1.50E-03
Nb-89b      6.98E-14    1.32E-15    1.11E-10    4.42E-12    3.41E-01    1.50E-03
Nb-90       2.17E-13    3.84E-15    6.19E-10    4.54E-11    4.75E-02    1.50E-03
Nb-93m      4.44E-18    9.39E-19    7.90E-09    1.14E-11    5.82E-06    1.50E-03
Nb-94       7.70E-14    1.53E-15    1.12E-07    2.22E-08    3.90E-09    1.50E-03
Nb-95       3.74E-14    7.48E-16    1.57E-09    3.58E-10    8.22E-04    1.50E-03
Nb-95m      2.93E-15    6.26E-17    6.59E-10    3.86E-11    8.00E-03    1.50E-03
Nb-96       1.21E-13    2.39E-15    6.19E-10    4.81E-11    2.97E-02    1.50E-03
Nb-97       3.18E-14    6.45E-16    2.24E-11    9.20E-13    5.77E-01    1.50E-03
Nb-97m      3.55E-14    7.12E-16    0.00E+00    0.00E+00    4.16E+01    1.50E-03
Nb-98       1.21E-13    2.33E-15    3.31E-11    2.30E-12    8.08E-01    1.50E-03
Nd-136      1.27E-14    2.90E-16    3.12E-11    2.06E-12    8.21E-01    1.50E-03
Nd-138      4.05E-14    8.57E-16    2.78E-10    4.13E-12    1.38E-01    1.50E-03
Nd-139      1.90E-14    4.00E-16    5.73E-12    2.88E-13    1.40E+00    1.50E-03
Nd-139m     7.86E-14    1.57E-15    1.02E-10    9.61E-12    1.26E-01    1.50E-03
Nd-141      2.88E-15    7.55E-17    2.78E-12    1.43E-13    2.78E-01    1.50E-03
Nd-141m     3.70E-14    7.42E-16    0.00E+00    0.00E+00    4.00E+01    1.50E-03
Nd-147      6.19E-15    1.39E-16    1.85E-09    1.82E-11    2.63E-03    1.50E-03
Nd-149      1.81E-14    3.77E-16    6.05E-11    6.24E-13    4.01E-01    1.50E-03
Nd-151      4.48E-14    8.82E-16    8.43E-12    2.48E-13    3.34E+00    1.50E-03
Ne-19       4.92E-14    1.02E-15    0.00E+00    0.00E+00    1.45E+02    0.00E+00
Ni-56       8.41E-14    1.66E-15    1.09E-09    3.27E-10    4.73E-03    1.50E-03
Ni-57       9.69E-14    1.80E-15    5.11E-10    5.16E-11    1.92E-02    1.50E-03
Ni-59       0.00E+00    0.00E+00    2.48E-10    1.14E-10    1.06E-09    1.50E-03
Ni-63       0.00E+00    0.00E+00    6.22E-10    2.47E-10    8.24E-07    1.50E-03
Ni-65       2.79E-14    5.15E-16    5.99E-11    2.30E-12    2.75E-01    1.50E-03
Ni-66       4.46E-15    8.78E-17    2.25E-09    2.75E-11    1.27E-02    1.50E-03
Np-232      5.80E-14    1.16E-15    3.39E-10    3.81E-13    2.83E+00    1.50E-03
Np-233      3.85E-15    8.39E-17    5.87E-13    6.10E-14    1.15E+00    1.50E-03
Np-234      7.26E-14    1.33E-15    5.49E-10    6.85E-11    6.56E-03    1.50E-03
Np-235      5.10E-17    3.65E-18    1.12E-09    3.13E-12    7.29E-05    1.50E-03
Np-236a     5.36E-15    1.20E-16    2.81E-05    6.29E-09    6.88E-10    1.50E-03
Np-236b     2.14E-15    4.67E-17    2.23E-08    2.00E-12    3.08E-02    1.50E-03
Np-237      1.03E-15    2.87E-17    1.46E-04    1.34E-08    3.70E-11    1.50E-03
Np-238      2.72E-14    5.29E-16    1.00E-08    2.45E-11    1.36E-02    1.50E-03
Np-239      7.69E-15    1.63E-16    6.78E-10    7.62E-12    1.23E-02    1.50E-03
Np-240      6.31E-14    1.27E-15    2.20E-11    1.98E-12    6.40E-01    1.50E-03
Np-240m     1.62E-14    3.27E-16    0.00E+00    0.00E+00    5.62E+00    1.50E-03
O-15        4.91E-14    1.01E-15    0.00E+00    0.00E+00    2.04E+01    1.50E-03
Os-180      2.30E-15    6.02E-17    3.73E-12    5.39E-13    1.89E+00    1.50E-03
Os-181      5.94E-14    1.17E-15    3.62E-11    3.18E-12    3.96E-01    1.50E-03
Os-182      2.01E-14    4.25E-16    3.73E-10    2.43E-11    3.15E-02    1.50E-03
Os-185      3.43E-14    7.04E-16    2.68E-09    7.86E-10    3.07E-04    1.50E-03
Os-189m     1.06E-19    3.13E-20    8.07E-12    8.15E-15    1.16E-01    1.50E-03
Os-190m     7.60E-14    1.56E-15    0.00E+00    0.00E+00    4.20E+00    1.50E-03
Os-191      3.21E-15    7.38E-17    1.13E-09    1.43E-11    1.88E-03    1.50E-03
Os-191m     2.75E-16    7.19E-18    8.20E-11    5.84E-13    5.32E-02    1.50E-03
Os-193      3.40E-15    7.23E-17    5.41E-10    2.04E-12    2.31E-02    1.50E-03
Os-194      2.75E-17    1.14E-18    1.81E-07    1.37E-09    1.32E-05    1.50E-03
P-30        4.94E-14    1.02E-15    0.00E+00    0.00E+00    1.66E+01    1.50E-03
P-32        9.90E-17    2.91E-18    1.64E-09    4.83E-10    2.02E-03    1.50E-03
P-33        8.23E-19    4.46E-20    1.71E-10    6.96E-11    1.14E-03    1.50E-03
Pa-227      1.03E-15    2.39E-17    1.32E-08    5.63E-14    1.09E+00    1.50E-03
Pa-228      5.54E-14    1.09E-15    1.19E-07    2.74E-11    3.15E-02    1.50E-03
Pa-230      3.13E-14    6.26E-16    3.98E-07    1.53E-10    1.66E-03    1.50E-03
Pa-231      1.72E-15    4.07E-17    2.32E-04    4.45E-09    2.42E-09    1.50E-03
Pa-232      4.56E-14    9.06E-16    1.88E-08    2.44E-11    2.20E-02    1.50E-03
Pa-233      9.35E-15    1.95E-16    2.58E-09    5.62E-11    1.07E-03    1.50E-03
Pa-234      9.34E-14    1.84E-15    2.20E-10    1.23E-11    1.03E-01    1.50E-03
Pa-234m     7.19E-16    1.53E-17    0.00E+00    0.00E+00    3.55E+01    1.50E-03
Pb-195m     7.68E-14    1.55E-15    8.37E-12    1.45E-12    2.63E+00    1.50E-03
Pb-198      2.04E-14    4.25E-16    2.08E-11    4.81E-12    2.89E-01    1.50E-03
Pb-199      7.31E-14    1.39E-15    1.97E-11    4.35E-12    4.62E-01    1.50E-03
Pb-200      9.20E-15    1.98E-16    2.14E-10    4.28E-11    3.22E-02    1.50E-03
Pb-201      3.63E-14    7.33E-16    7.09E-11    1.33E-11    7.37E-02    1.50E-03
Pb-202      4.52E-19    1.34E-19    2.65E-08    1.49E-08    2.64E-10    1.50E-03
Pb-202m     9.96E-14    1.99E-15    4.83E-11    1.35E-11    1.91E-01    1.50E-03
Pb-203      1.44E-14    3.01E-16    1.43E-10    2.34E-11    1.33E-02    1.50E-03
Pb-205      5.06E-19    1.50E-19    1.06E-09    5.51E-11    5.53E-12    1.50E-03
Pb-209      8.12E-18    3.01E-19    2.56E-11    1.48E-12    2.13E-01    1.50E-03
Pb-210      5.64E-17    2.48E-18    3.67E-06    3.18E-07    3.55E-06    1.50E-03
Pb-211      4.71E-15    9.66E-17    2.35E-09    1.63E-10    1.15E+00    1.50E-03
Pb-212      1.61E-14    3.22E-16    5.08E-08    3.47E-09    6.51E-02    1.50E-03
Pb-214      1.18E-14    2.44E-16    2.11E-09    1.62E-10    1.55E+00    1.50E-03
Pd-100      4.65E-15    1.20E-16    1.06E-09    1.19E-10    7.96E-03    1.50E-03
Pd-101      1.53E-14    3.22E-16    5.03E-11    3.52E-12    8.38E-02    1.50E-03
Pd-103      8.56E-17    1.22E-17    4.25E-10    1.43E-13    1.70E-03    1.50E-03
Pd-107      0.00E+00    0.00E+00    3.45E-09    1.05E-13    1.22E-11    1.50E-03
Pd-109      2.51E-16    1.12E-17    2.96E-10    1.55E-13    5.16E-02    1.50E-03
Pm-141      3.60E-14    7.29E-16    8.56E-12    2.96E-13    1.99E+00    1.50E-03
Pm-142      4.22E-14    8.66E-16    0.00E+00    0.00E+00    6.16E+01    1.50E-03
Pm-143      1.46E-14    3.10E-16    2.94E-09    7.74E-10    1.09E-04    1.50E-03
Pm-144      7.48E-14    1.54E-15    1.45E-08    4.98E-09    7.96E-05    1.50E-03
Pm-145      7.09E-16    3.26E-17    8.23E-09    1.72E-10    4.47E-06    1.50E-03
Pm-146      3.59E-14    7.41E-16    3.96E-08    6.33E-09    1.43E-05    1.50E-03
Pm-147      6.93E-19    3.41E-20    1.06E-08    1.98E-14    3.02E-05    1.50E-03
Pm-148      2.89E-14    5.48E-16    2.95E-09    3.82E-11    5.38E-03    1.50E-03
Pm-148m     9.68E-14    1.96E-15    6.10E-09    1.05E-09    6.99E-04    1.50E-03
Pm-149      5.41E-16    1.13E-17    7.93E-10    3.31E-13    1.31E-02    1.50E-03
Pm-150      7.17E-14    1.36E-15    9.79E-11    3.54E-12    2.59E-01    1.50E-03
Pm-151      1.51E-14    3.15E-16    4.73E-10    6.18E-12    2.44E-02    1.50E-03
Po-203      8.12E-14    1.56E-15    1.99E-11    2.97E-12    1.13E+00    1.50E-03
Po-205      7.80E-14    1.51E-15    2.80E-11    5.71E-12    3.85E-01    1.50E-03
Po-207      6.51E-14    1.28E-15    4.77E-11    9.82E-12    1.19E-01    1.50E-03
Po-210      4.16E-19    8.29E-21    2.32E-06    1.26E-07    2.09E-04    1.50E-03
Po-211      3.81E-16    7.61E-18    0.00E+00    0.00E+00    4.84E+03    1.50E-03
Po-212      0.00E+00    0.00E+00    0.00E+00    0.00E+00    8.18E+09    1.50E-03
Po-213      0.00E+00    0.00E+00    0.00E+00    0.00E+00    5.94E+08    1.50E-03
Po-214      4.08E-18    8.13E-20    0.00E+00    0.00E+00    1.52E+07    1.50E-03
Po-215      8.43E-18    1.74E-19    0.00E+00    0.00E+00    1.40E+06    1.50E-03
Po-216      8.29E-19    1.65E-20    0.00E+00    0.00E+00    1.66E+04    1.50E-03
Po-218      4.72E-19    9.72E-21    0.00E+00    0.00E+00    1.36E+01    1.50E-03
Pr-136      1.03E-13    2.02E-15    6.68E-12    4.86E-13    3.17E+00    1.50E-03
Pr-137      2.36E-14    4.93E-16    1.29E-11    6.83E-13    5.43E-01    1.50E-03
Pr-138      3.92E-14    8.13E-16    0.00E+00    0.00E+00    2.87E+01    1.50E-03
Pr-138m     1.21E-13    2.40E-15    3.65E-11    5.68E-12    3.30E-01    1.50E-03
Pr-139      5.17E-15    1.22E-16    1.56E-11    6.74E-13    1.54E-01    1.50E-03
Pr-142      3.15E-15    5.78E-17    7.79E-10    6.38E-13    3.62E-02    1.50E-03
Pr-142m     0.00E+00    0.00E+00    9.98E-12    8.08E-15    2.85E+00    1.50E-03
Pr-143      2.10E-17    7.01E-19    2.19E-09    1.68E-18    2.13E-03    1.50E-03
Pr-144      1.95E-15    3.78E-17    1.17E-11    8.47E-15    2.41E+00    1.50E-03
Pr-144m     2.79E-16    1.30E-17    0.00E+00    0.00E+00    5.78E+00    1.50E-03
Pr-145      7.36E-16    1.56E-17    1.82E-10    7.96E-14    1.16E-01    1.50E-03
Pr-147      4.15E-14    8.39E-16    8.22E-12    2.17E-13    3.06E+00    1.50E-03
Pt-186      3.53E-14    7.24E-16    3.58E-11    6.95E-12    3.47E-01    1.50E-03
Pt-188      8.86E-15    1.94E-16    8.48E-10    2.69E-10    2.83E-03    1.50E-03
Pt-189      1.48E-14    3.14E-16    4.84E-11    8.42E-12    6.38E-02    1.50E-03
Pt-191      1.34E-14    2.96E-16    1.66E-10    3.41E-11    1.03E-02    1.50E-03
Pt-193      3.98E-19    1.19E-19    6.14E-11    1.42E-11    1.58E-06    1.50E-03
Pt-193m     4.15E-16    1.04E-17    2.37E-10    3.50E-11    6.67E-03    1.50E-03
Pt-195m     2.84E-15    6.87E-17    3.29E-10    5.04E-11    7.18E-03    1.50E-03
Pt-197      1.01E-15    2.27E-17    1.53E-10    1.41E-11    3.79E-02    1.50E-03
Pt-197m     3.49E-15    7.77E-17    3.31E-11    2.62E-12    4.41E-01    1.50E-03
Pt-199      9.73E-15    2.00E-16    1.23E-11    9.03E-13    1.35E+00    1.50E-03
Pt-200      1.63E-14    3.20E-16    4.71E-10    4.16E-11    5.55E-02    1.50E-03
Pu-234      2.85E-15    6.26E-17    7.40E-09    5.81E-12    7.88E-02    1.50E-03
Pu-235      3.92E-15    8.65E-17    6.17E-13    3.79E-14    1.64E+00    1.50E-03
Pu-236      6.35E-18    9.81E-19    3.50E-05    8.38E-10    2.78E-05    1.50E-03
Pu-237      2.02E-15    4.65E-17    5.33E-10    2.18E-11    6.38E-04    1.50E-03
Pu-238      4.88E-18    8.38E-19    7.79E-05    3.86E-10    9.02E-07    1.50E-03
Pu-239      4.24E-18    3.67E-19    8.33E-05    3.75E-10    3.29E-09    1.50E-03
Pu-240      4.75E-18    8.03E-19    8.33E-05    3.76E-10    1.21E-08    1.50E-03
Pu-241      7.25E-20    1.93E-21    1.34E-06    9.15E-12    5.49E-06    1.50E-03
Pu-242      4.01E-18    6.67E-19    7.92E-05    3.71E-10    2.10E-10    1.50E-03
Pu-243      1.03E-15    2.41E-17    4.44E-11    1.13E-13    1.40E-01    1.50E-03
Pu-244      2.97E-18    5.58E-19    7.82E-05    1.27E-08    9.58E-13    1.50E-03
Pu-245      1.99E-14    4.04E-16    3.55E-10    3.98E-12    6.60E-02    1.50E-03
Pu-246      3.88E-14    8.07E-16    5.81E-09    1.14E-10    2.66E-03    1.50E-03
Ra-222      4.75E-16    9.74E-18    0.00E+00    0.00E+00    6.57E+01    1.50E-03
Ra-223      8.77E-15    1.83E-16    2.12E-06    3.38E-08    2.53E-03    1.50E-03
Ra-224      4.90E-16    9.95E-18    8.53E-07    1.53E-08    7.89E-03    1.50E-03
Ra-225      2.79E-16    1.33E-17    2.10E-06    3.07E-08    1.95E-03    1.50E-03
Ra-226      3.15E-16    6.44E-18    2.32E-06    1.02E-07    4.95E-08    1.50E-03
Ra-227      7.41E-15    1.59E-16    7.68E-11    2.30E-12    9.86E-01    1.50E-03
Ra-228      0.00E+00    0.00E+00    1.29E-06    1.83E-07    1.38E-05    1.50E-03
Rb-79       6.51E-14    1.34E-15    1.33E-11    1.53E-12    1.82E+00    1.50E-03
Rb-80       6.07E-14    1.25E-15    0.00E+00    0.00E+00    7.34E+01    1.50E-03
Rb-81       2.96E-14    6.07E-16    3.51E-11    1.03E-11    1.51E-01    1.50E-03
Rb-81m      1.88E-16    5.43E-18    5.43E-12    1.35E-12    1.30E+00    1.50E-03
Rb-82       5.30E-14    1.09E-15    0.00E+00    0.00E+00    3.20E+01    1.50E-03
Rb-82m      1.43E-13    2.81E-15    7.83E-11    4.37E-11    1.12E-01    1.50E-03
Rb-83       2.39E-14    4.92E-16    1.33E-09    1.10E-09    3.35E-04    1.50E-03
Rb-84       4.47E-14    8.90E-16    1.76E-09    1.44E-09    8.81E-04    1.50E-03
Rb-86       4.81E-15    9.31E-17    1.79E-09    1.33E-09    1.55E-03    1.50E-03
Rb-87       1.82E-18    8.80E-20    8.74E-10    7.16E-10    1.68E-15    1.50E-03
Rb-88       3.36E-14    5.95E-16    2.26E-11    1.37E-12    2.34E+00    1.50E-03
Rb-89       1.06E-13    1.91E-15    1.16E-11    1.61E-12    2.74E+00    1.50E-03
Re-177      2.96E-14    5.90E-16    5.06E-12    6.60E-12    2.97E+00    1.50E-03
Re-178      6.09E-14    1.13E-15    5.07E-12    2.86E-12    3.15E+00    1.50E-03
Re-180      5.72E-14    1.15E-15    0.00E+00    0.00E+00    1.71E+01    1.50E-03
Re-181      3.65E-14    7.49E-16    1.74E-10    5.45E-10    3.47E-02    1.50E-03
Re-182a     5.78E-14    1.12E-15    1.03E-10    2.99E-10    5.46E-02    1.50E-03
Re-182b     9.16E-14    1.79E-15    7.72E-10    1.71E-09    1.08E-02    1.50E-03
Re-184      4.29E-14    8.64E-16    1.39E-09    1.12E-09    7.60E-04    1.50E-03
Re-184m     1.82E-14    3.75E-16    3.98E-09    2.10E-09    1.75E-04    1.50E-03
Re-186      9.19E-16    2.04E-17    8.64E-10    2.19E-09    7.65E-03    1.50E-03
Re-186m     5.00E-16    1.46E-17    9.76E-09    2.85E-09    3.96E-10    1.50E-03
Re-187      0.00E+00    0.00E+00    1.47E-11    6.96E-12    1.58E-15    1.50E-03
Re-188      2.87E-15    5.91E-17    5.44E-10    2.19E-09    4.08E-02    1.50E-03
Re-188m     3.02E-15    7.56E-17    1.11E-11    4.15E-11    2.24E+00    1.50E-03
Re-189      3.22E-15    6.74E-17    3.36E-10    1.27E-09    2.85E-02    1.50E-03
Rh-100      1.41E-13    2.54E-15    3.75E-10    4.18E-11    3.33E-02    1.50E-03
Rh-101      1.21E-14    2.55E-16    1.07E-08    1.35E-09    2.47E-05    1.50E-03
Rh-101m     1.41E-14    2.96E-16    2.02E-10    1.87E-11    6.65E-03    1.50E-03
Rh-102      1.04E-13    2.08E-15    3.24E-08    1.32E-08    2.73E-05    1.50E-03
Rh-102m     2.31E-14    4.76E-16    1.29E-08    1.20E-09    1.40E-04    1.50E-03
Rh-103m     8.80E-18    1.25E-18    1.27E-12    1.48E-15    7.41E-01    1.50E-03
Rh-105      3.72E-15    7.62E-17    2.58E-10    2.88E-12    1.96E-02    1.50E-03
Rh-106      1.04E-14    2.12E-16    0.00E+00    0.00E+00    8.35E+01    1.50E-03
Rh-106m     1.44E-13    2.80E-15    4.84E-11    6.65E-12    3.15E-01    1.50E-03
Rh-107      1.50E-14    3.07E-16    5.76E-12    1.12E-13    1.92E+00    1.50E-03
Rh-99       2.85E-14    5.88E-16    8.36E-10    1.32E-10    1.81E-03    1.50E-03
