TERREL.DAT      2.0             Header structure with coordinate parameters      
   2
Produced by TERREL Version: 3.69  Level: 110330                                   
Internal Coordinate Transformations  ---  COORDLIB   Version: 1.99   Level: 070921
LCC     
25.4418 N       119.4429 E       30N             60N             
 0.00000000E+00 0.00000000E+00
WGS-84  02-21-2003  
     80     80       -40.0       -40.0       1.0       1.0
KM  M  
W_E N_S 
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   472.5   361.1   340.7   370.0   372.6   370.9   416.1   358.8   300.2   218.1
   239.8   217.0   151.9   164.7   171.0   124.0   231.5   346.0   318.4   204.7
   147.7   113.8    60.4    48.0   340.8    68.7    37.8    27.2    24.9    20.8
    13.1    15.4    17.9    16.2    21.9     7.0     7.4     4.0     3.3    20.1
    12.0    54.0    25.5     4.2     3.0     4.3    83.9   150.8    45.3    27.5
   111.2   194.6   156.6    77.0    26.5    16.2     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   382.6   456.1   339.3   335.1   321.3   333.9   374.4   377.6   288.7   312.5
   219.0   340.8   228.2   147.6   117.4   166.2   203.5   170.6   115.1    80.5
   144.0    51.0    48.0    74.7   359.5    68.7    37.1    35.3    17.4    17.0
    14.4    11.3    17.7    15.5     5.0     3.4     4.3     3.1     3.0     3.7
    26.7    13.0     7.5     2.9     3.5    20.6    18.3    15.1     5.7     9.1
    64.1   173.2   181.5   111.1    69.0     0.0     6.3     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   393.4   344.0   405.7   383.2   364.5   329.5   319.8   418.2   417.7   199.1
   202.4   137.7   267.6   176.3   181.8   227.2   111.1   116.9   103.4    54.6
    48.0    48.0    48.0   138.3   113.3    33.4    34.1    26.8    16.4    12.8
    10.2   196.3    38.0     8.1     7.4     4.6     7.7    19.3     3.5     3.0
    16.7   105.3    10.3     3.3     4.5    14.3     6.1    14.2     2.7     5.4
     5.3    82.5   211.2    50.5   141.6     7.1     0.0     8.7     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   463.9   412.3   469.1   486.7   426.4   353.6   372.6   370.9   386.5   304.8
   184.4    93.7   109.4    69.8    70.9   162.0   127.8    74.3    98.0    48.0
    48.0    48.0    48.0   118.4    89.6    26.0    18.6    15.1    13.9    20.9
    39.0   141.5    81.9    12.8     5.5     6.8    38.0     4.7     3.2     0.6
     2.7    10.7    40.7     2.1     2.9     4.0     4.2     2.6     0.3     1.4
     2.7     6.9    18.1    16.8   108.1     0.0     0.0     0.0     0.0     0.0
     0.0     1.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   509.6   443.0   493.7   459.6   454.3   459.2   454.3   476.7   375.6   207.1
   226.6   129.2   129.7    78.6    72.0   111.0   273.5    89.9    50.2    48.1
    48.0    58.5   275.6   131.9    64.9    36.3    22.7    17.4    95.4    78.3
    67.9   191.6   184.8    13.2     4.5     4.1    15.9    45.3    49.9    24.4
     3.3     7.4     7.9     2.3     0.1     3.0     2.2     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   447.7   406.6   390.6   477.6   586.4   696.1   447.8   715.6   435.5   423.1
   518.8   448.6   216.5   353.6   113.4   243.7   341.1    89.7    67.3    78.1
   187.9   326.9   235.4   240.4   191.2    33.0    20.6    54.5   139.9   153.7
   175.7   108.4    77.5    15.4     7.2    24.1   147.7    24.8    13.7     3.2
     3.2     2.8     2.5     2.4     0.0     0.5     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     4.1     0.0     0.0     0.4    34.0     0.0    24.3
     0.0     0.0     0.0     0.0     2.6     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.7     0.0     0.0
   451.7   360.0   451.9   447.6   489.1   507.4   627.8   636.9   725.1   674.3
   551.4   476.9   413.4   400.9   358.6   604.1   276.7   255.0   306.6   314.6
   514.5   216.9   158.7   191.0    91.9    29.6    29.9   107.2   128.3   162.3
   121.7    41.7    40.2    93.7    64.1   186.2    45.3     9.4     3.8     7.9
     3.1     2.7     0.3     2.3     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.7     0.0    14.8     0.0     0.0     0.0     0.0
    50.4    75.5     0.0     0.0     0.0     0.0    22.5     0.0     0.0     0.0
     0.0     0.0     2.3    20.3     0.0     0.0     0.0     0.0     0.0     0.0
   242.6   226.7   347.3   446.1   509.2   428.2   465.1   550.7   773.5   705.9
   641.3   551.9   453.6   462.6   474.9   638.4   328.1   170.8   553.3   708.8
   387.3   147.3   128.9   210.0    45.1    82.6    47.4    53.5    92.0   147.0
    94.3    73.8    47.8   129.2   189.4   159.3    15.1     5.3     4.1     8.1
     2.3     1.9     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    30.0    29.0     0.0     0.0     0.0     0.0
     3.1     0.0    93.3     0.0    14.2    73.9    72.3     0.0     0.0     0.0
     0.0    24.1    86.6    22.3     0.2     0.0     0.0     0.0     0.0     0.0
   192.6   207.4   362.9   381.3   402.5   493.2   562.9   730.3   739.2   618.2
   630.6   432.6   340.0   394.0   548.5   892.6   508.9   198.7   588.6   559.6
   288.9   202.1   108.8    51.9    64.0   161.1   114.7   131.7    86.1    33.2
    27.1    60.8    39.8   174.9   201.2    38.7    13.5     5.1     4.9     2.9
     2.3     1.9     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    31.6    23.3     2.4     0.0     0.0     0.0     0.0
     0.0    21.4    18.3   144.6   152.4    56.2   157.8     0.0     0.0     0.0
    18.5    81.6    13.7     0.0     3.2     4.0     0.0     0.0     0.0     0.0
   213.0   293.6   241.5   387.7   498.5   646.7   742.6   719.3   703.5   649.8
   609.2   617.9   372.1   346.7   687.9   794.0   725.1   634.5   661.5   275.0
    87.8    55.4    41.2    33.3    66.7    32.0    18.5    81.4    28.4    11.2
    11.5    16.6   109.7   110.8    49.4    13.7    15.9     3.5     3.2     3.8
     3.3    39.2     1.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0    31.6     1.4    14.2     0.1     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    23.9    11.0     0.0     0.0    23.9     0.0     4.4    20.0
    44.0    25.5     7.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   431.0   258.9   295.1   514.3   561.9   691.2   660.3   710.7   729.4   703.4
   570.4   607.6   503.3   234.3   440.7   568.7   769.1   734.6   494.7   387.8
   202.8    43.7    38.1    22.0    75.6    12.8    14.3    24.5     3.5    14.0
    25.7    46.3    49.3    67.6    25.5     9.3     3.9     3.7    17.9     6.3
    15.0    16.2     2.7     0.0     3.8     0.0     0.0     0.0     0.5     0.0
     0.0     0.0     0.0     0.8     0.0     0.0     0.0     0.0     0.0     0.0
